hand,age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,rank_points,won,surface,draw_size,tourney_level,tourney_date,best_of,round,minutes
L,29.4,0.0,2.0,47.0,34.0,17.0,5.0,8.0,3.0,8.0,210.0,339.0,0,Clay,32,A,2021,3,R32,72.0
R,25.4,0.0,3.0,79.0,49.0,33.0,13.0,10.0,5.0,8.0,160.0,349.0,1,Clay,32,A,2018,3,R16,117.0
L,30.8,5.0,0.0,77.0,52.0,40.0,10.0,13.0,6.0,9.0,67.0,855.0,1,Grass,32,A,2018,3,R32,86.0
R,30.6,8.0,9.0,119.0,70.0,51.0,23.0,16.0,6.0,9.0,27.0,1670.0,1,Hard,32,A,2018,3,QF,166.0
R,24.2,15.0,3.0,107.0,67.0,50.0,22.0,16.0,8.0,10.0,341.0,139.0,1,Hard,4,D,2017,5,RR,137.0
U,20.1,4.0,6.0,65.0,35.0,19.0,15.0,11.0,5.0,11.0,1334.0,4.0,0,Hard,4,D,2017,5,RR,65.0
R,21.9,4.0,5.0,78.0,42.0,23.0,20.0,13.0,2.0,7.0,217.0,249.0,0,Clay,128,G,2020,5,R128,102.0
R,26.2,3.0,2.0,100.0,69.0,47.0,15.0,10.0,11.0,13.0,11.0,2650.0,1,Hard,32,A,2017,3,R32,106.0
R,22.8,11.0,2.0,78.0,47.0,35.0,9.0,12.0,5.0,10.0,47.0,1024.0,0,Hard,64,A,2018,3,QF,106.0
R,31.7,10.0,7.0,62.0,32.0,23.0,13.0,10.0,4.0,7.0,40.0,1110.0,0,Hard,64,M,2018,3,R64,80.0
R,26.9,2.0,5.0,58.0,38.0,28.0,9.0,8.0,5.0,6.0,8.0,2975.0,1,Hard,8,F,2017,3,RR,71.0
R,28.6,1.0,2.0,122.0,87.0,51.0,18.0,15.0,11.0,14.0,70.0,730.0,0,Hard,32,A,2022,3,R16,147.0
R,21.0,5.0,1.0,74.0,34.0,21.0,17.0,10.0,8.0,12.0,58.0,826.0,0,Hard,128,M,2017,3,R128,92.0
R,26.7,0.0,2.0,65.0,41.0,26.0,10.0,10.0,4.0,8.0,85.0,648.0,0,Hard,128,M,2017,3,R128,91.0
L,24.3,3.0,1.0,79.0,44.0,35.0,18.0,12.0,0.0,0.0,243.0,232.0,0,Hard,64,A,2018,3,R16,105.0
R,26.3,10.0,6.0,84.0,54.0,36.0,13.0,13.0,8.0,13.0,8.0,3575.0,0,Hard,32,A,2017,3,SF,136.0
R,21.0,6.0,1.0,68.0,44.0,28.0,17.0,12.0,3.0,6.0,66.0,709.0,0,Hard,64,M,2022,3,R64,97.0
R,29.4,4.0,2.0,85.0,47.0,33.0,24.0,13.0,8.0,10.0,68.0,816.0,1,Hard,128,G,2018,5,R128,114.0
R,25.5,11.0,2.0,95.0,55.0,40.0,20.0,15.0,8.0,11.0,26.0,1430.0,1,Hard,32,A,2019,3,QF,119.0
R,33.9,3.0,1.0,55.0,32.0,24.0,13.0,8.0,4.0,5.0,1.0,11873.0,1,Clay,32,A,2021,3,QF,75.0
L,31.5,1.0,2.0,55.0,26.0,20.0,13.0,9.0,2.0,4.0,69.0,860.0,0,Clay,32,A,2019,3,F,98.0
R,33.4,12.0,10.0,97.0,65.0,52.0,13.0,16.0,6.0,8.0,167.0,327.0,1,Grass,32,A,2019,3,R32,125.0
R,32.3,17.0,9.0,97.0,51.0,42.0,19.0,14.0,2.0,6.0,43.0,1325.0,0,Hard,64,A,2021,3,R64,151.0
R,31.0,6.0,2.0,55.0,35.0,29.0,11.0,10.0,1.0,2.0,22.0,1665.0,1,Grass,32,A,2018,3,QF,78.0
R,20.2,5.0,0.0,69.0,39.0,29.0,15.0,8.0,5.0,5.0,11.0,3150.0,1,Hard,8,F,2021,3,RR,85.0
R,36.4,6.0,1.0,64.0,45.0,31.0,11.0,11.0,3.0,5.0,93.0,823.0,0,Grass,32,A,2021,3,R32,99.0
L,30.0,3.0,2.0,76.0,42.0,30.0,14.0,10.0,8.0,10.0,485.0,78.0,0,Hard,4,D,2017,3,RR,73.0
R,35.3,5.0,4.0,52.0,31.0,23.0,11.0,9.0,2.0,4.0,21.0,2158.0,1,Hard,32,A,2022,3,QF,68.0
R,28.7,3.0,1.0,69.0,49.0,30.0,10.0,10.0,10.0,13.0,62.0,893.0,0,Clay,32,A,2022,3,SF,88.0
L,26.8,1.0,3.0,98.0,50.0,29.0,23.0,14.0,3.0,9.0,502.0,70.0,0,Clay,4,D,2017,3,RR,107.0
R,33.7,3.0,1.0,119.0,92.0,61.0,19.0,21.0,4.0,8.0,18.0,2385.0,1,Hard,128,G,2022,5,R128,175.0
R,28.9,2.0,2.0,46.0,21.0,14.0,9.0,7.0,4.0,8.0,92.0,783.0,0,Hard,64,A,2021,3,R32,52.0
R,33.7,17.0,2.0,77.0,52.0,36.0,7.0,10.0,10.0,13.0,239.0,200.0,0,Hard,32,A,2018,3,SF,82.0
